"OBJECTID","COBAMA","SUBTIPO_LO","TIPO_LOTE","CBML","FORMA","NUMERO_EDI","AREA_LOTE","X_MAGNAMED","Y_MAGNAMED","ESTACIONMASCERCANA","DISTANCIAAESTACI0N","COMUNA"
142159,"1603024",1,"Normal","16030240036",,0,"158,72","831393,3559","1181147,6778","Estación La Palma","231,999121996119","16"
143593,"1603024",1,"Normal","16030240040",,0,"154,36","831361,3543","1181147,001","Estación La Palma","214,463864348414","16"
147534,"1603024",1,"Normal","16030240038",,0,"151,87","831377,2896","1181147,3273","Estación La Palma","222,784776783396","16"
152126,"1603024",1,"Normal","16030240041",,0,"196,73","831352,2537","1181146,7975","Estación La Palma","210,091095197025","16"
152956,"1603014",1,"Normal","16030140015",,0,"499,37","831430,677","1181096,9206","Estación La Palma","220,391920090102","16"
153718,"1603024",1,"Normal","16030240035",,0,"168,21","831401,7891","1181147,7308","Estación La Palma","237,023351680643","16"
132556,"1603014",1,"Normal","16030140014",,0,"417,81","831432,6285","1181063,0356","Estación La Palma","202,495802999354","16"
134941,"1603015",1,"Normal","16030150006",,0,"305,7","831353,4741","1181059,1927","Estación La Palma","137,84737161966","16"
137665,"1603015",1,"Normal","16030150001",,0,"445,88","831405,9467","1181062,0489","Estación La Palma","179,579740910224","16"
137731,"1603015",1,"Normal","16030150004",,0,"301,89","831373,5136","1181060,1853","Estación La Palma","152,935971598107","16"
141838,"1603015",1,"Normal","16030150003",,0,"303,89","831383,4976","1181060,6816","Estación La Palma","160,860396419703","16"
142487,"1603015",1,"Normal","16030150008",,0,"313,01","831333,5166","1181058,1133","Estación La Palma","124,153276578934","16"
144797,"1603015",1,"Normal","16030150007",,0,"308,1","831343,5291","1181058,6231","Estación La Palma","130,797035217577","16"
147478,"1603015",1,"Normal","16030150009",,0,"312,42","831323,4761","1181057,5667","Estación La Palma","117,941711024218","16"
150013,"1603015",1,"Normal","16030150002",,0,"301,07","831393,5241","1181061,1718","Estación La Palma","169,034511642647","16"
150155,"1603015",1,"Normal","16030150005",,0,"309,24","831363,5009","1181059,6272","Estación La Palma","145,203391052294","16"
132608,"1605025",1,"Normal","16050250014",,0,"81,55","831800,9602","1180292,3599","Parada San Bernando","419,923858766919","16"
133712,"1605025",1,"Normal","16050250019",,0,"194,47","831819,723","1180325,7838","Parada San Bernando","458,179054924078","16"
137435,"1605025",1,"Normal","16050250017",,0,204,"831814,2925","1180313,6695","Parada San Bernando","445,086331493543","16"
137877,"1605025",1,"Normal","16050250015",,0,"200,45","831810,5932","1180298,2277","Parada San Bernando","430,272717166573","16"
149275,"1605025",1,"Normal","16050250018",,0,"150,02","831815,9179","1180320,4134","Parada San Bernando","451,585125909901","16"
152336,"1605025",1,"Normal","16050250016",,0,"204,18","831812,3903","1180305,9171","Parada San Bernando","437,613706425649","16"
152542,"1605025",1,"Normal","16050250020",,0,"195,32","831821,4177","1180331,9385","Parada La Nubia","463,641261039581","16"
298826,"1608013",1,"Normal","16080130042",,0,"5726,96","831608,3912","1179521,7132","Parada La Mota","414,253161020724","16"
108706,"1509078",1,"Normal","15090780004",,0,"104,99","832618,9399","1178671,5931","Parada Campos de Paz","286,55676535231","15"
110359,"1509062",1,"Normal","15090620033",,0,"114,99","832675,4896","1178601,8568","Parada Campos de Paz","300,837134414664","15"
111221,"1509078",1,"Normal","15090780006",,0,"104,99","832606,6871","1178678,3646","Parada Campos de Paz","281,522155621206","15"
111222,"1509078",1,"Normal","15090780003",,0,"104,99","832625,0664","1178668,2072","Parada Campos de Paz","289,295564357866","15"
111223,"1509078",1,"Normal","15090780002",,0,"104,99","832631,1929","1178664,8212","Parada Campos de Paz","292,176651002971","15"
111427,"1509062",1,"Normal","15090620020",,0,"89,77","832592,2518","1178646,6017","Parada Campos de Paz","250,081204321027","15"
111796,"1509062",1,"Normal","15090620004",,0,"121,49","832661,5257","1178593,7938","Parada Campos de Paz","284,906584536834","15"
112045,"1509077",1,"Normal","15090770024",,0,"104,99","832720,4786","1178633,2537","Parada Campos de Paz","354,406061602205","15"
113190,"1509077",1,"Normal","15090770013",,0,"104,99","832664,2172","1178647,2371","Parada Campos de Paz","310,312030015819","15"
113648,"1509078",1,"Normal","15090780020",,0,"104,99","832595,5628","1178701,6508","Parada Campos de Paz","289,633645058369","15"
